epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3,1.62112,2.6725,1.76363,0.75753,0.36848,0.39271,0.21886,1.88494,3.35233,1.79278,6.53333e-05,6.53333e-05,0.0673987
2,24.088,1.57393,2.51212,1.66542,0.66026,0.49545,0.49631,0.29961,1.76013,3.10494,1.64309,0.000131919,0.000131919,0.0341319
3,29.5245,1.46123,2.3721,1.5956,0.7401,0.47623,0.52304,0.33516,1.77126,2.58798,1.65154,0.000198177,0.000198177,0.000864844
4,34.9957,1.44494,2.33517,1.58763,0.85114,0.45096,0.54621,0.33827,1.61581,2.40252,1.54681,0.000198892,0.000198892,0.000198892
5,40.421,1.39153,2.17337,1.54225,0.75504,0.4974,0.56513,0.31619,1.75229,2.34428,1.62609,0.000198033,0.000198033,0.000198033
6,45.8981,1.37853,2.13373,1.5073,0.78683,0.49592,0.56883,0.33884,1.69382,2.33126,1.56903,0.000196933,0.000196933,0.000196933
7,51.3091,1.36777,2.13447,1.50392,0.68548,0.5345,0.57115,0.34075,1.72231,2.44125,1.60802,0.000195595,0.000195595,0.000195595
8,56.8659,1.42189,2.20147,1.535,0.79285,0.49171,0.57221,0.36356,1.60508,2.31298,1.51163,0.000194022,0.000194022,0.000194022
9,62.3625,1.34349,2.02961,1.46404,0.76612,0.52225,0.5851,0.34826,1.66298,2.25085,1.52131,0.000192219,0.000192219,0.000192219
10,67.7886,1.33123,2.02837,1.44846,0.79589,0.51668,0.56671,0.346,1.65655,2.23989,1.51782,0.000190191,0.000190191,0.000190191
11,73.182,1.35523,2.03481,1.48606,0.79299,0.5321,0.58669,0.37025,1.55854,2.22073,1.45817,0.000187942,0.000187942,0.000187942
12,78.6652,1.32693,1.9636,1.44577,0.78432,0.5052,0.56116,0.34392,1.70461,2.31707,1.5551,0.00018548,0.00018548,0.00018548
13,84.1827,1.31088,1.96765,1.43459,0.75555,0.55282,0.57717,0.36556,1.57854,2.13191,1.46826,0.000182812,0.000182812,0.000182812
